b,组,t*,bounds,feas,方案整体可行
0,1,18.5,33.3,True,True
0,2,23.5,33.3,True,True
1,1,17.5,32.9,True,True
1,2,23.5,32.9,True,True
2,1,16.5,33.6,True,True
2,2,25.0,33.6,True,True
3,1,18.0,32.9,True,True
3,2,21.5,32.9,True,True
4,1,15.5,33.4,True,True
4,2,18.5,33.4,True,True
5,1,17.0,30.3,True,True
5,2,21.0,30.3,True,True
6,1,18.5,33.9,True,True
6,2,20.0,33.9,True,True
7,1,17.0,32.6,True,True
7,2,23.0,32.6,True,True
8,1,18.0,33.4,True,True
8,2,22.0,33.4,True,True
9,1,19.5,31.4,True,True
9,2,23.5,31.4,True,True
10,1,17.0,32.7,True,True
10,2,24.0,32.7,True,True
11,1,18.5,33.0,True,True
11,2,23.5,33.0,True,True
12,1,18.0,32.0,True,True
12,2,23.0,32.0,True,True
13,1,18.0,33.1,True,True
13,2,20.0,33.1,True,True
14,1,17.5,33.4,True,True
14,2,23.5,33.4,True,True
15,1,16.5,32.4,True,True
15,2,20.0,32.4,True,True
16,1,17.5,31.7,True,True
16,2,24.5,31.7,True,True
17,1,16.5,33.4,True,True
17,2,19.0,33.4,True,True
18,1,17.5,30.8,True,True
18,2,20.0,30.8,True,True
19,1,18.0,33.8,True,True
19,2,21.0,33.8,True,True
20,1,16.5,33.3,True,True
20,2,24.0,33.3,True,True
21,1,19.0,33.4,True,True
21,2,24.0,33.4,True,True
22,1,17.5,33.4,True,True
22,2,23.0,33.4,True,True
23,1,19.5,31.2,True,True
23,2,20.0,31.2,True,True
24,1,17.0,32.5,True,True
24,2,19.5,32.5,True,True
25,1,18.5,35.3,True,True
25,2,22.5,35.3,True,True
26,1,19.5,33.8,True,True
26,2,25.0,33.8,True,True
27,1,16.0,32.1,True,True
27,2,21.5,32.1,True,True
28,1,17.5,34.0,True,True
28,2,24.5,34.0,True,True
29,1,16.0,32.4,True,True
29,2,21.5,32.4,True,True
30,1,18.0,32.4,True,True
30,2,20.0,32.4,True,True
31,1,16.0,33.9,True,True
31,2,20.0,33.9,True,True
32,1,18.5,33.4,True,True
32,2,21.5,33.4,True,True
33,1,16.0,32.1,True,True
33,2,17.5,32.1,True,True
34,1,19.0,32.4,True,True
34,2,23.0,32.4,True,True
35,1,16.5,33.4,True,True
35,2,23.0,33.4,True,True
36,1,18.5,30.8,True,True
36,2,20.0,30.8,True,True
37,1,16.0,32.5,True,True
37,2,19.5,32.5,True,True
38,1,19.5,31.5,True,True
38,2,24.5,31.5,True,True
39,1,16.0,32.5,True,True
39,2,19.5,32.5,True,True
40,1,19.0,33.1,True,True
