b,BMI主组,第一层变量,第一层切点,第二层变量,低分支第二切点,高分支第二切点
0,1,height0,159.5,age0,31.5,33.5
0,2,age0,30.5,height0,163.5,163.5
1,1,age0,28.5,height0,164.5,167.0
1,2,height0,163.5,age0,28.5,30.0
2,1,age0,32.5,height0,156.5,164.5
2,2,age0,29.5,height0,162.5,159.25
3,1,age0,28.5,height0,161.5,165.5
3,2,height0,162.25,age0,29.5,28.5
5,1,age0,30.5,height0,166.25,160.5
5,2,age0,29.5,height0,162.5,159.5
6,1,age0,27.5,height0,163.5,160.5
6,2,age0,29.5,height0,162.5,165.5
8,1,age0,27.5,height0,162.5,166.5
8,2,age0,29.5,height0,163.5,159.5
9,1,age0,31.5,height0,166.25,165.5
9,2,height0,162.25,age0,28.5,27.5
10,1,age0,26.5,height0,159.5,163.5
10,2,height0,160.5,age0,27.0,28.5
12,1,age0,30.5,height0,166.25,159.0
12,2,age0,28.5,height0,162.5,159.5
13,1,age0,27.5,height0,161.5,165.5
13,2,age0,30.5,height0,162.5,159.0
14,1,age0,31.5,height0,166.25,165.5
14,2,age0,30.5,height0,162.5,163.5
15,1,age0,27.5,height0,157.5,166.5
15,2,age0,29.5,height0,164.5,162.5
16,1,age0,28.5,height0,161.5,162.5
16,2,height0,159.5,age0,31.0,25.5
17,1,age0,31.5,height0,166.5,162.0
17,2,age0,29.5,height0,162.25,165.5
18,1,age0,27.5,height0,158.5,167.0
18,2,age0,30.5,height0,158.5,159.5
19,1,age0,30.5,height0,166.5,163.5
19,2,age0,29.5,height0,158.5,159.5
20,1,age0,29.5,height0,166.75,164.5
20,2,age0,29.5,height0,164.5,165.0
21,1,age0,27.5,height0,157.5,165.5
21,2,age0,29.5,height0,162.25,165.5
22,1,age0,27.5,height0,157.5,167.5
22,2,age0,29.5,height0,163.5,159.0
23,1,age0,31.5,height0,166.75,163.5
23,2,age0,29.5,height0,162.25,162.0
24,1,age0,27.5,height0,161.5,164.5
24,2,age0,28.5,height0,161.5,159.5
25,1,height0,161.5,age0,31.5,30.5
25,2,age0,29.5,height0,162.5,159.5
26,1,height0,160.5,age0,31.5,26.5
26,2,age0,29.5,height0,162.5,160.5
27,1,age0,31.5,height0,166.5,164.5
27,2,age0,30.5,height0,165.5,164.0
28,1,age0,31.5,height0,166.5,165.5
28,2,age0,28.5,height0,164.5,164.5
29,1,age0,28.5,height0,157.5,165.5
29,2,age0,28.5,height0,164.5,162.5
32,1,age0,28.5,height0,163.5,165.5
32,2,height0,162.25,age0,28.5,26.5
33,1,height0,162.5,age0,31.5,25.5
33,2,height0,163.5,age0,26.5,29.5
34,1,age0,27.5,height0,156.0,167.5
34,2,age0,29.5,height0,161.75,164.5
35,1,age0,25.5,height0,161.5,160.5
35,2,age0,28.5,height0,162.5,159.5
36,1,age0,28.5,height0,157.5,165.5
36,2,height0,162.25,age0,29.5,30.5
37,1,height0,160.5,age0,27.5,30.5
37,2,age0,29.5,height0,164.5,159.5
38,1,age0,27.5,height0,159.5,165.5
38,2,age0,29.5,height0,163.5,159.5
39,1,height0,166.5,age0,31.5,30.5
39,2,height0,162.25,age0,29.5,28.5
40,1,age0,27.5,height0,156.5,167.0
40,2,age0,28.5,height0,161.5,164.5
41,1,age0,29.5,height0,166.25,168.5
41,2,height0,163.5,age0,31.5,27.5
42,1,age0,27.5,height0,161.5,166.5
42,2,height0,165.5,age0,26.5,31.5
43,1,age0,30.5,height0,167.0,160.5
43,2,age0,30.5,height0,162.25,162.5
44,1,age0,30.5,height0,166.75,165.5
44,2,age0,29.5,height0,163.5,163.5
45,1,age0,31.5,height0,158.75,165.5
45,2,height0,161.5,age0,30.5,28.5
46,1,age0,28.5,height0,163.5,157.5
46,2,age0,29.5,height0,162.25,159.5
47,1,age0,30.5,height0,166.25,163.5
47,2,age0,29.5,height0,162.25,159.5
48,1,age0,27.5,height0,156.5,166.5
48,2,age0,27.5,height0,162.5,166.5
49,1,age0,28.5,height0,161.5,160.5
49,2,age0,32.5,height0,162.5,165.5
50,1,height0,157.5,age0,27.5,25.5
50,2,age0,29.5,height0,161.5,159.5
52,1,age0,31.5,height0,159.5,163.5
52,2,age0,29.5,height0,158.5,162.5
53,1,age0,31.5,height0,156.5,165.5
53,2,height0,163.5,age0,29.5,30.5
54,1,age0,31.5,height0,157.5,165.5
54,2,age0,29.5,height0,162.25,164.5
55,1,age0,26.5,height0,160.5,165.5
55,2,age0,29.5,height0,162.75,162.5
58,1,height0,160.5,age0,29.5,30.5
58,2,age0,29.5,height0,162.5,159.5
59,1,height0,161.5,age0,29.5,30.5
59,2,age0,30.5,height0,161.5,164.0
60,1,height0,161.5,age0,29.5,27.5
60,2,age0,29.5,height0,161.75,159.5
61,1,age0,25.5,height0,162.5,157.5
61,2,age0,28.5,height0,162.5,161.5
62,1,age0,27.5,height0,161.5,166.5
62,2,age0,27.5,height0,162.5,159.5
63,1,age0,31.5,height0,156.5,165.5
63,2,age0,30.5,height0,162.75,164.5
64,1,age0,31.5,height0,166.25,165.5
64,2,height0,164.5,age0,30.5,29.5
65,1,age0,30.5,height0,161.5,162.5
65,2,age0,29.5,height0,162.25,158.75
67,1,age0,28.5,height0,160.5,168.5
67,2,height0,163.5,age0,30.5,28.5
69,1,age0,28.5,height0,156.5,167.0
69,2,age0,29.5,height0,164.0,162.5
70,1,height0,164.5,age0,25.5,29.5
70,2,age0,27.5,height0,162.5,166.5
71,1,age0,30.5,height0,166.5,160.5
71,2,age0,30.5,height0,162.5,159.0
72,1,age0,32.5,height0,166.5,162.5
72,2,age0,29.5,height0,163.5,159.5
73,1,age0,29.5,height0,161.5,165.5
73,2,age0,28.5,height0,162.5,163.5
74,1,age0,29.5,height0,157.5,165.5
74,2,age0,28.5,height0,164.5,162.25
75,1,age0,30.5,height0,156.5,165.5
75,2,height0,162.25,age0,30.5,29.5
76,1,age0,28.5,height0,159.5,168.5
76,2,height0,164.5,age0,30.5,28.5
78,1,age0,30.5,height0,158.25,165.5
78,2,height0,162.25,age0,29.5,28.5
79,1,age0,30.5,height0,158.5,160.5
79,2,age0,26.5,height0,162.5,158.5
80,1,height0,156.5,age0,29.5,30.5
80,2,height0,162.25,age0,29.5,30.5
82,1,height0,161.5,age0,25.5,27.5
82,2,height0,159.5,age0,26.5,30.5
83,1,age0,31.5,height0,161.5,163.5
83,2,height0,159.5,age0,31.5,29.5
84,1,height0,166.5,age0,25.5,28.5
84,2,age0,28.5,height0,164.5,159.5
85,1,age0,28.5,height0,157.5,167.0
85,2,age0,29.5,height0,162.25,160.5
86,1,age0,28.5,height0,155.5,167.0
86,2,height0,162.75,age0,30.5,28.5
87,1,age0,30.5,height0,166.5,159.0
87,2,age0,29.5,height0,158.5,159.5
88,1,age0,30.5,height0,160.5,165.5
88,2,height0,163.5,age0,29.5,30.5
90,1,height0,160.5,age0,29.5,25.5
90,2,age0,30.5,height0,162.5,167.5
91,1,height0,166.25,age0,29.5,28.5
91,2,height0,164.5,age0,30.5,29.0
92,1,age0,30.5,height0,157.5,165.5
92,2,age0,30.5,height0,162.25,164.0
93,1,age0,28.5,height0,157.5,167.0
93,2,age0,28.5,height0,161.0,164.5
94,1,age0,30.5,height0,161.5,160.5
94,2,age0,29.5,height0,163.5,159.5
95,1,height0,166.25,age0,32.5,28.5
95,2,age0,28.5,height0,164.5,162.75
96,1,height0,161.5,age0,29.5,31.5
96,2,age0,30.5,height0,163.5,164.5
99,1,height0,161.5,age0,29.5,25.5
99,2,age0,29.5,height0,162.25,159.5
