b,组,t*,bounds,S
0,1,17.5,33.6,0.4263
0,2,18.0,33.6,0.4525
1,1,17.5,33.7,0.4351
1,2,18.0,33.7,0.4608
2,1,17.5,32.4,0.4417
2,2,18.0,32.4,0.4665
3,1,17.5,35.6,0.4424
3,2,18.0,35.6,0.4723
4,1,17.5,35.7,0.4308
4,2,18.0,35.7,0.4546
5,1,17.5,31.1,0.4459
5,2,18.0,31.1,0.4708
6,1,17.5,31.0,0.4493
6,2,18.0,31.0,0.4662
7,1,18.0,33.8,0.4523
7,2,18.5,33.8,0.4832
8,1,17.5,31.0,0.4467
8,2,18.0,31.0,0.4643
9,1,18.0,33.4,0.4499
9,2,18.5,33.4,0.4904
10,1,17.5,34.3,0.4367
10,2,18.0,34.3,0.4639
11,1,17.5,33.6,0.4424
11,2,18.0,33.6,0.4606
12,1,17.5,31.5,0.448
12,2,18.0,31.5,0.4711
13,1,17.5,32.0,0.4393
13,2,18.0,32.0,0.4559
14,1,18.0,33.8,0.4543
14,2,18.5,33.8,0.4846
15,1,18.0,33.8,0.4521
15,2,18.0,33.8,0.4766
16,1,17.5,31.5,0.4481
16,2,18.0,31.5,0.4706
17,1,17.5,31.7,0.4264
17,2,17.5,31.7,0.4439
18,1,17.5,31.3,0.4499
18,2,18.0,31.3,0.4706
19,1,17.5,31.8,0.4336
19,2,18.0,31.8,0.4514
20,1,17.5,33.8,0.4399
20,2,18.0,33.8,0.4637
21,1,17.5,33.6,0.4434
21,2,18.0,33.6,0.4684
22,1,18.0,33.4,0.4525
22,2,18.5,33.4,0.4895
23,1,17.5,33.5,0.4485
23,2,18.0,33.5,0.4671
24,1,17.0,32.0,0.4097
24,2,17.5,32.0,0.4284
25,1,17.5,31.1,0.4386
25,2,18.0,31.1,0.4591
26,1,18.0,33.5,0.4522
26,2,18.0,33.5,0.4768
27,1,17.5,33.4,0.4307
27,2,18.0,33.4,0.4513
28,1,17.5,33.4,0.4446
28,2,18.0,33.4,0.4691
29,1,17.5,33.8,0.442
29,2,18.0,33.8,0.4676
30,1,17.5,33.6,0.43
30,2,17.5,33.6,0.448
31,1,17.5,34.6,0.4344
31,2,18.0,34.6,0.4558
32,1,17.5,33.4,0.4345
32,2,18.0,33.4,0.4566
33,1,17.5,33.8,0.4154
33,2,17.5,33.8,0.4319
34,1,18.0,33.4,0.4506
34,2,18.5,33.4,0.4874
35,1,17.5,34.1,0.4275
35,2,18.0,34.1,0.4534
36,1,18.0,33.8,0.454
36,2,18.0,33.8,0.4799
37,1,17.5,31.2,0.446
37,2,18.0,31.2,0.4693
38,1,18.0,34.1,0.4531
38,2,18.0,34.1,0.48
39,1,17.5,33.7,0.4357
39,2,18.0,33.7,0.4564
40,1,17.5,33.4,0.4404
40,2,18.0,33.4,0.4597
41,1,17.5,33.8,0.4471
41,2,18.0,33.8,0.4702
42,1,17.5,30.2,0.4071
42,2,18.0,30.2,0.4527
43,1,17.5,31.6,0.4257
43,2,17.5,31.6,0.4399
44,1,17.5,33.8,0.4302
44,2,18.0,33.8,0.459
45,1,17.5,31.9,0.4372
45,2,18.5,31.9,0.4748
46,1,17.5,32.1,0.4423
46,2,18.0,32.1,0.4648
47,1,17.5,31.7,0.4391
47,2,18.0,31.7,0.4588
48,1,17.5,33.7,0.4454
48,2,18.0,33.7,0.4686
49,1,17.5,30.8,0.4477
49,2,18.0,30.8,0.4652
50,1,17.5,30.7,0.4457
50,2,18.0,30.7,0.4661
51,1,18.0,34.1,0.4506
51,2,18.0,34.1,0.4788
52,1,17.5,34.5,0.4115
