染色体,特征,标准化系数
T13,X染色体浓度,-0.9492
T13,被过滤掉读段数的比例,0.4389
T13,13号染色体的GC含量,0.3698
T13,21号染色体的Z值,0.2999
T13,X染色体的Z值,-0.2887
T13,身高,-0.272
T13,年龄,-0.2619
T13,GC含量,0.2525
T13,在参考基因组上比对的比例,0.2121
T13,log_reads,-0.2103
T13,t_weeks,0.1683
T13,孕妇BMI,-0.168
T13,log_uniq,-0.1593
T13,18号染色体的Z值,-0.1588
T13,18号染色体的GC含量,0.1551
T13,21号染色体的GC含量,-0.1337
T13,13号染色体的Z值,-0.0189
T13,重复读段的比例,0.0163
T18,21号染色体的GC含量,-1.5926
T18,13号染色体的GC含量,1.5624
T18,X染色体浓度,-1.1832
T18,X染色体的Z值,-0.5504
T18,18号染色体的Z值,0.4711
T18,GC含量,-0.414
T18,在参考基因组上比对的比例,0.3801
T18,18号染色体的GC含量,0.3383
T18,年龄,-0.3242
T18,被过滤掉读段数的比例,-0.3236
T18,身高,-0.2482
T18,孕妇BMI,-0.2253
T18,t_weeks,0.1567
T18,13号染色体的Z值,0.1349
T18,重复读段的比例,-0.1035
T18,21号染色体的Z值,0.0676
T18,log_uniq,-0.0617
T18,log_reads,0.0081
T21,t_weeks,0.7013
T21,孕妇BMI,-0.444
T21,重复读段的比例,-0.42
T21,21号染色体的Z值,0.358
T21,GC含量,0.2995
T21,13号染色体的Z值,-0.264
T21,X染色体的Z值,0.2367
T21,13号染色体的GC含量,-0.2054
T21,21号染色体的GC含量,-0.1936
T21,被过滤掉读段数的比例,0.1934
T21,18号染色体的Z值,-0.1838
T21,年龄,-0.1811
T21,身高,0.1298
T21,X染色体浓度,-0.098
T21,在参考基因组上比对的比例,-0.0938
T21,log_reads,0.0806
T21,log_uniq,0.0709
T21,18号染色体的GC含量,-0.0254
