染色体,情景,阈值(折中位),层级,TP,FP,FN,TN,召回,精确率,特异度,F1
T13,偏精确(召回≥0.70),0.3447,记录级,19,270,4,312,0.8261,0.0657,0.5361,0.1218
T13,偏精确(召回≥0.70),0.3447,孕妇级,16,93,2,36,0.8889,0.1468,0.2791,0.252
T13,基准(召回≥0.80),0.2508,记录级,20,310,3,272,0.8696,0.0606,0.4674,0.1133
T13,基准(召回≥0.80),0.2508,孕妇级,17,103,1,26,0.9444,0.1417,0.2016,0.2464
T13,偏召回(召回≥0.90),0.1072,记录级,22,400,1,182,0.9565,0.0521,0.3127,0.0989
T13,偏召回(召回≥0.90),0.1072,孕妇级,17,117,1,12,0.9444,0.1269,0.093,0.2237
T18,偏精确(召回≥0.70),0.4685,记录级,34,130,12,429,0.7391,0.2073,0.7674,0.3238
T18,偏精确(召回≥0.70),0.4685,孕妇级,26,61,4,56,0.8667,0.2989,0.4786,0.4444
T18,基准(召回≥0.80),0.317,记录级,38,232,8,327,0.8261,0.1407,0.585,0.2405
T18,基准(召回≥0.80),0.317,孕妇级,27,79,3,38,0.9,0.2547,0.3248,0.3971
T18,偏召回(召回≥0.90),0.2201,记录级,41,328,5,231,0.8913,0.1111,0.4132,0.1976
T18,偏召回(召回≥0.90),0.2201,孕妇级,30,100,0,17,1.0,0.2308,0.1453,0.375
T21,偏精确(召回≥0.70),0.2011,记录级,11,425,2,167,0.8462,0.0252,0.2821,0.049
T21,偏精确(召回≥0.70),0.2011,孕妇级,10,129,2,6,0.8333,0.0719,0.0444,0.1325
T21,基准(召回≥0.80),0.1627,记录级,11,467,2,125,0.8462,0.023,0.2111,0.0448
T21,基准(召回≥0.80),0.1627,孕妇级,10,130,2,5,0.8333,0.0714,0.037,0.1316
T21,偏召回(召回≥0.90),0.0692,记录级,12,538,1,54,0.9231,0.0218,0.0912,0.0426
T21,偏召回(召回≥0.90),0.0692,孕妇级,11,131,1,4,0.9167,0.0775,0.0296,0.1429
